title,ingredients,instructions,food_types,description,average_rating,minutes,n_ingredients,n_steps,score
fried  potatoes,"red potatoes, margarine, rosemary","preheat oven to 400 degrees. cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick. soak the potatoes in ice water for five minutes. drain the potatoes , then rinse thoroughly under cold water. press between paper towels to dry. transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them. spray baking sheet with non-stick spray. spread potatoes onto baking sheet. bake for 15 minutes. toss and turn. bake for five minutes. add herbs and toss. bake a final five minutes until the potatoes are brown and crisp. serve immediately",Healthy,"my husband made these up last week, very tasty, he liked them because they were easy.",4.5,40,3,14,4.423123037
george s at the cove  black bean soup,"unsalted butter, carrot, onion, celery, broccoli stem, dried thyme, dried oregano, dried sweet basil leaves, dry white wine, chicken stock, worcestershire sauce, tabasco sauce, smoked chicken, black beans, broccoli floret, heavy cream, salt & fresh ground pepper, cornstarch","in 1 / 4 cup butter , saute carrots , onion , celery and broccoli stems for 5 minutes. add thyme , oregano and basil. saute 5 minutes more. add wine and deglaze pan. add hot chicken stock and reduce by one-third. add worcestershire sauce , tabasco , smoked chicken , beans and broccoli florets. simmer 5 minutes. add cream , simmer 5 minutes more and season to taste. drop in remaining butter , piece by piece , stirring until melted and serve immediately. smoked chicken: on a covered grill , slightly smoke boneless chicken , cooking to medium rare. chef meskan uses applewood chips and does not allow the grill to become too hot",Non-veg,"an original recipe created by chef scott meskan, george's at the cove. we enjoyed this when we visited this restaurant in la jolla, california. this recipe is requested so often, they have it printed and ready at the hostess stand. it's unbeatable at the restaurant, but i do a pretty good job at home, too, if i do say so myself!",5.0,90,18,11,4.673123037
grilled  ranch bread,"butter, dry ranch dressing mix, french bread","cream the butter with the dressing mix. spread evenly on the bread halves. place under the broiler for 2-3 minutes , until golden and the butter begins to seep and bubble. serve hot",Veg,buttery and ,4.0,13,3,4,4.173123037
grilled  venison burgers,"ground venison, egg substitute, non-fat powdered milk, water, fresh breadcrumb, onion, salt, black pepper, dry mustard, worcestershire sauce","in bowl , mix dry ingredients. add venison and mix well. add liquid ingredients and mix well with a fork , until bread crumbs are barely noticeable. on plastic wrap , form into 8 patties , making them round and very flat-- like a fast-food burger. they can be cooked immediately , but i prefer to freeze them first. place them on a large cookie sheet and freeze them several hours. remove from freezer and place waxed paper between each burger as you stack them. i stack them in 2 1-quart freezer zip-lock bags. preheat cast iron skillet to very hot. cook frozen burgers until they are slightly charred on one side and then turn and cook until the other side is slightly charred and burgers are medium-well. do not overcook. turn burner off and leave burgers in the pan while you put condiments on your hamburger bun. if cooking thawed burgers , cook about 2-3 minutes per side",Healthy,delicious venison burgers with that ,4.428571429,26,10,13,4.410276905
healthy for them  yogurt popsicles,"milk, frozen juice concentrate, plain yogurt",mix all the ingredients using a blender. pour into popsicle molds. freeze and enjoy !,Healthy,"my children and their friends ask for my homemade popsicles morning, noon and night. i never turn them down; who am i to tell them that they are good for them! for variety i substitute different flavours of frozen juice - grape, fruit punch, tropical etc.",4.833333333,10,3,3,4.711561518
how i got my family to eat spinach  spinach casserole,"frozen chopped spinach, egg, salt, black pepper, onion, sharp cheddar cheese, condensed cream of mushroom soup, crouton","preheat oven to 350 degrees. place spinach in strainer and squeeze all extra liquid from it. in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well. pour into a 2 quart casserole dish and top with croutons. bake for 35 to 40 minutes , or until bubbling around edges",Healthy,"if spinach scares you, this is one recipe that contains spinach that you do not have to be afraid of! it is so delicious that even my picky kids like it. my mother-in-law makes this for get-togethers and she passed the recipe on to me. you can also use broccoli instead of the spinach, which she does often, but i have never tried...it is great the way it is! she also eats this hot or cold, but i only like it hot :) enjoy!",4.150442478,50,8,5,4.157136618
i can t believe it s low fat  creamy potato salad,"red potatoes, green onion, diced pimentos, fat-free mayonnaise, plain low-fat yogurt, low-fat sour cream, sugar, prepared mustard, white wine vinegar, salt, pepper, celery seed, garlic","cut potatoes into 1 / 2"" pieces. place in medium saucepan. add water to cover. bring to a boil. cover , reduce heat , and simmer 15-20 minutes or until tender. drain and cool. combine potato , chopped green onion , and pimemto in a large bowl. toss gently. combine mayonnaise and next 9 ingredients. stir well. add to potato mixture , tossing gently to coat. cover and chill",Veg dessert,the name says it all. you have to try it to believe it!,4.8,30,13,12,4.598331588
i don t feel like cooking tonight  casserole,"ground beef, onion, frozen vegetables, cream of mushroom soup, condensed cream of mushroom & garlic soup, salt & pepper, cooking oil, cornbread mix","brown onion and meat in the oil , drain any excess moisture. remove from heat and add both cans of soup and the veggies of your choice and stir. salt and pepper to taste. pour mixture into a greased 9x9 inch baking pan. spoon the prepared cornbread mix over the top and spread even. bake in a preheated 350 degree oven for 35-45 minutes , or until cornbread is done",Non-veg,"this is a hearty and filling casserole for those nights when a long time in the kitchen is just out of the question. very tasty and easy to make, my family requests it often. enjoy!",4.5,45,8,6,4.43849843
i stole the idea from mirj  sesame noodles,"angel hair pasta, toasted sesame oil, soy sauce, honey, garlic, green onions, toasted sesame seeds, stir fry vegetables","in a large pot , cook your angel hair pasta until almost al dente. drain well , put in a bowl and set aside. in a small tupperware container with a lid , mix sesame oil , soy sauce , honey , garlic and sesame seeds. put the lid on the container and shake , shake , shake it like a polaroid picture. pour the sauce over the angel hair and toss well. the heat of the pasta will cook the garlic a bit so it won't be totally raw. mix in the green onions and stir fry veggies. serve",Veg,"i love mirj's funky chicken with sesame noodles. i decided to use the noodles as my inspiration for this recipe. it's really similar but totally different. we liked it and i hope others will too! cook time is the time it takes to make the pasta. *update* since posting this, i tried adding about 1/2 teaspoon of red pepper flakes and it turned out wonderfully so i decided to add it as a suggestion.",4.166666667,18,8,8,4.211561518
immoral  sandwich filling  loose meat,"ground beef, sugar, prepared yellow mustard, beer, cayenne, garlic, salt & pepper, american cheese","brown the meat & drain fat. stir in sugar , mustard , beer , cayenne , garlic and salt & pepper to taste. simmer until liquid has mostly cooked away. lay slices of cheese over top of meat , then cover for about 5 minutes , with heat on very low , until cheese has melted. stir cheese into meat. serve hot , on sandwich buns or bread , or over hot potatoes or rice",Veg dessert,"just the thing for a day when you're wanton something delicious, and a hamburger patty is just too restrictive. loosen up your inhibitions and pile some loose meat on a bun. wicked over hot, whipped potatoes as well.",4.0,35,8,6,4.055399372
jeanne s style  birthday cake,"shortening, icing sugar, vanilla, all-purpose flour, baking powder, sugar, eggs, salt, milk, butter","to prepare base , cut shortening into dry ingredients , mix well. pat firmly and evenly into an 8 inch square pan and bake at 350 deg. f. for 10-12 minutes. cool. for cake: cream shortening , and sugar. add eggs and vanilla , beating well until fluffy. sift flour , baking powder and salt together. add to creamed mixture alternately with milk. pour batter into a greased and floured 8 inch square pan. bake at 350 deg. f for 25 - 40 minutes. frosting: in small saucepan , stir tog. milk and flour. cook , stirring constantly , until mixute is thickened and smooth. cool. on highest speed of mixer , beat cooled flour mixture with butter , shortening and vanilla until smooth and fluffy. blend in icing sugar and salt. continue beating until frosting is very fluffy. this will take at least 15 minutes. to assemble cake: place shortbread base on serving plate. spread with small amount of frosting. place cake on base. cover top and sides of cake with remaining frosting. if desired , garnish sides of cake with shaved semi-sweet chocolate",Non-Veg dessert,a bakery in winnipeg is famous for this special cake and ship it to all parts of canada. a recipe request column in the winnipeg free press printed this copycat recipe submitted by a reader. enjoy !,2.285714286,230,10,25,3.034998572
jiffy  extra moist carrot cake,"yellow cake mix, vanilla instant pudding mix, nutmeg, cinnamon, eggs, oil, water, crushed pineapple, carrot, pecans, coconut","preheat oven to 350 degrees. mix together the cake mix , pudding , nutmeg and cinnamon. add eggs , oil and water to this mixture. mix on medium speed for 1 minute. add the pineapple , carrots , pecans and coconut. blend well. pour into a greased 9 inch round cake pan. bake 25 to 30 minutes , until tooth pick inserted in the center comes out clean",Non-veg,"this is a very tasty, moist, carrot cake. a nice sized cake for 2 or 3 people.",4.0,50,11,8,4.115415358
jiffy  roasted corn and jalapeno cornbread,"whole kernel corn, onion, red bell pepper, butter, jiffy corn muffin mix, egg, heavy cream, jalapenos, sharp cheddar cheese, honey","melt butter in a saut pan. add the corn , onion and red pepper and saut on medium heat until some of the corn kernels start to turn golden brown. whisk egg , corn liquid , and cream together. stir into corn muffin mix with a fork. stir in diced jalapenos and cheddar cheese. quickly stir in hot sauted corn and onion mixture , just mixing in slightly. pour into 8 x 8 buttered baking dish. bake at 350 for 15 minutes. remove cornbread , turn off oven , drizzle cornbread with honey and put back in hot oven for 5 minutes. remove from oven and let stand for 10 minutes before serving",Non-veg,"this is a moist, easy, colorful and delicious cornbread. roasting the corn adds a little nuttier flavor and the red bell pepper adds a nice color and flavor.",5.0,35,10,10,4.7622713
keep it going  german friendship cake,"flour, water, dry yeast, milk, sugar, eggs, vegetable oil, baking soda, baking powder, salt, cinnamon, vanilla, crushed pineapple, raisins, nuts, butter, brown sugar","mix starter ingredients in a bowl and let stand at room temperature undisturbed for 24 to 36 hours. place starter in a medium bowl and combine it with the""first day"" ingredients. cover and refrigerate. stir once a day for 5 days. on the 5th day , place in a larger bowl and add the""fifth day"" ingredients. cover and refrigerate. stir once a day for 5 more days. remove 3 separate cups of starter and give each cup to 3 friends with the recipe and instructions. preheat oven to 350 degrees. combine all of the""tenth day"" ingredients with the remaining mixture. pour into a greased and floured 9 x 13"" pan. combine topping ingredients and sprinkle on top. bake for 40- 50 minutes",Non-Veg dessert,"yes, this sounds bizarre, but it really is tasty and i have had some that was going around for months. it is a nice thing to start at work, school, church, etc. try it...it's like a chain cake instead of a chain letter :)",3.0,14450,17,13,3.598331588
killer  lasagna,"italian sausage, ground beef, garlic, dried basil, salt, whole tomato, tomato paste, ricotta cheese, cottage cheese, parmesan cheese, parsley flakes, eggs, ground black pepper, lasagna noodle, mozzarella cheese","brown the sausage and ground meat and drain all the fat. add all the other ingredients for the meat filling and simmer on the stove , uncovered , for about 1 / 2 hour. i usually add a bay leaf or two. mix up the cheese filling and set aside in fridge until ready to use. put the noodles in salted water and cook until soft when poked with a fork. when the noodles are done , drain the noodles and rinse off with cold water so they can be handled easily. spray the baking pan with a non-stick spray and put a layer of noodles down on the bottom of the pan. it is ok to cut some of the noodles to fit into the pan if they do not fit whole. spread half the cheese filling over the noodels , then half of the mozarella cheese on top of that , then half of the meat sauce over the grated mozarella cheese. repeat layers and then top with more mozarella cheese. bake at 375 degrees for 30 minutes. let stand for 10 minutes before cutting into it. leftovers can be easily stored in the freezer",Non-veg,this was originally my mom's recipe and used to be a favorite when we were kids. i always requested it for my birthday dinner.,3.8,90,15,13,4.042776033
land of nod  cinnamon buns,"rolls, brown sugar, instant vanilla pudding, cinnamon, raisins, butter","before you turn in for the night , grease a 10"" bundt pan and add frozen rolls. sprinkle with brown sugar , pudding powder , cinnamon and raisins. pour melted butter over all. cover with a clean , damp cloth. off to bed you go !. in the morning , preheat oven to 350 and bake for 25 minutes. let sit for 5 minutes and then turn out on a serving plate",Veg dessert,"i have made this several times and it's dead easy. if you have overnight guests, what could be easier for breakfast? i've made it on special occasions, too, such as easter morning and christmas morning, etc. this recipe comes from the best of bridge series.",4.549019608,35,6,7,4.534272442
love is in the air  beef fondue   sauces,"beef steaks, vegetable oil, spicy mustard, fresh lemon juice, honey, brown sugar, ketchup, hot sauce, sour cream, fresh garlic, fresh parsley, dried dill weed",honey mustard sauce: whisk all the ingredients together serve warm or cold. easy bbq sauce: combine all ingredients in a pot& cook over low heat until the sugar is dissolved. serve warm or cold. garlic dill sauce: mix all the ingredients and chill until ready to serve,Veg dessert,i think a fondue is a very romantic casual dinner or wonderful for after the theatre snack served with a robust red wine. for dinner serve with rice & a small salad. almond rice pilaf is a great accompaniment (recipe posted separately ) to cook the meat you must first heat your oil - i do this by heating it to almost boiling on the stove and then transfering it to your fondue burner. buy good quality meat i recommend only using a fillet. have at least 3 sauces. if you want to serve 4-6 people just increase the meat to 2 lbs there will be enough sauce.these sauce recipes came from ,4.0,25,12,4,4.115415358
make that chicken dance  salsa pasta,"tomatoes, garlic, onion, button mushrooms, hot sauce, dried oregano, dried basil, fresh parsley, water, salsa, chicken breasts, olive oil, fresh ground black pepper, parmesan cheese, pasta","heat oil in a frying pan and saut the onions and mushrooms until soft , about two minutes. add the water , tomatoes , garlic , oregano , basil , parsley and hot sauce. simmer over low heat for 6-10 minutes or until tomatoes are soft and enough water has evaporated to form a relatively thick sauce. add salsa and chicken. simmer until heated through. cook pasta of your choice until al dente. serve sauce over hot pasta , top with parmesan cheese and freshly ground black pepper",Healthy,"i made this up the other night after i started to make mirjam's penne arrabiatta (#22941) but discovered i was missing a few ingredients. like the italian dish i meant to make, this one is also spicy and loaded with garlic. i'm sure it would be even more flavourful with fresh herbs, but dried ones were all i had on hand.",5.0,30,15,7,4.673123037
mennonite  corn fritters,"fresh corn, eggs, flour, salt, pepper, baking powder, cream, fat","combine eggs , flour , baking powder , salt& pepper with the corn. mix thoroughly. add cream to mixture. melt fat in frying pan& drop corn mixture by spoonfuls into the hot fat. brown on both sides. serve w / syrup",Healthy,"ok - my heritage has been revealed. :) these are simply wonderful. a favorite among our community, they're sure to bring a smile to your face. enjoy!",4.666666667,15,8,6,4.53849843
mock a mole   low fat guacamole,"frozen peas, hass avocado, salt, lemons, juice of, tomatoes, onion, cilantro","thaw peas by running hot water over them in a strainer until they are bright green. puree peas in food processor. add 1 / 4 of one avocado , salt , and juice of one lemon or lime. puree again and transfer to a bowl. coarsely mash the remaining avocado and stir in tomato and onion. taste and add more salt / lemon to your taste. stir in cilantro",Healthy,from crescent dragonwagon's ,4.75,15,7,7,4.548123037
munch without guilt  tomatoes,"tomatoes, crackers, mayonnaise, black pepper",put a slice of tomato on each biscuit / cracker. smear with little mayo and sprinkle black pepper. munch without guilt !,Veg,anytime munchies...another sweat free preparation for all of you !,5.0,10,4,3,4.673123037
never weep  whipped cream,"whipping cream, vanilla instant pudding mix, powdered sugar, vanilla extract","whip all ingredients together until firm peaks form. cover leftovers tightly , preferably in an air-tight plastic container. this stays the same consistency until used. it will keep for a week in the fridge without deflating",Veg dessert,"i don't know where i got this, but it works. the whipped cream will keep for a week in the fridge without deflating... great for party make-ahead.",4.8625,5,4,4,4.83791648
now and later  vegetarian empanadas,"carrots, butter, onion, sliced mushrooms, zucchini, celery, green pepper, cloves, tomatoes, chili powder, ground cumin, oregano, cayenne pepper, flour, water, monterey jack cheese, salt, all-purpose flour, baking powder, vegetable shortening, soy sauce, egg","in a pot , cover carrots with water to cover. bring to a boil , then lower heat. simmer 10 minutes or until just tender. while simmering carrots , pour contents of can of tomatoes into a bowl and squish into little pieces with your hands. wash hands. blend chili powder , cumin , oregano , and cayenne into tomatoes. take the 2 tbs of flour and blend with 1 / 4 cup cold water in a small cup. pour this into tomato mixture and stir to blend. drain carrots , and cut into 3 / 4 in pieces. put both aside for now. melt butter on medium heat in a large fring pan. add onion , mushrooms , zucchini , celery , green pepper , and garlic and saute. stir continuously until onion is limp. stir tomato mixture into frying pan and bring to a simmer. cover and simmer for 2 or 3 minutes , then uncover and cook for about 5 minutes over med-high heat until liquid has evaporated. stir in carrots and cheese. salt to taste. when cheese has melted put pan in refrigerator to quickly cool vegetables. stir now and then to help cool faster. now , begin empanada crust. resift flour with baking powder in a bowl. quickly cut butter and shortening into bowl until it looks like a coarse meal. make a well in the center. add soy sauce and cold water together. stir vigorously with a fork until dough follows the fork around bowl. personal observation: the dough seems rather""frothy"" at this point. turn dough onto a lightly floured surface and knead gently for about 10 folds to remove stickyness. divide dough into 8 equal pieces. make into a ball and roll into an 8 inch circle. spoon about 3 / 4 cup vegetable filling onto center of circle. moisten edges of circle with water and bring together at top , pinching and fluting edges. mine looked like balls of dough and turned out fine. lift empanada onto ungreased cookie sheet. repeat until done. if you fill more than one cookie sheet put the full one in the refrigerator. when done , prick the top of each empanada with a fork and brush with egg and water mixture. if you are going to cook some of them right away , pre-heat oven to 400 and cook 25 to 30 minutes on an ungreased cookie sheet. take the ones for later and freeze uncovered on cookie sheet overnight. when frozen solid wrap in foil or put in freezer bags. label with instructions: bake uncovered in pre-heated 425 degree oven for 30 minutes. let cool some before serving",Non-veg,this is from ,4.2,90,22,41,4.241784593
off the cob  freezer corn,"sweet corn, sweet butter, half-and-half, salt and pepper","preheat oven to 325f. shuck ears of corn. rinse to remove silks. place on paper towels to drain. using an angel food cake pan and electric knife , stand each ear on tube part of pan and cut corn off cob. your cuttings will fall neatly into the pan. as the cake pan fills , empty into large roaster pan. season with salt and pepper to your taste. cube butter and distribute onto corn in roaster pan. pour half and half throughout corn. roast for 1 hour , stirring gently every 15 minutes. allow to cool for half an hour. label freezer bags with contents , quantity and date. ladle into bags at portions suitable for your personal use. stack neatly in freezer for later use",Veg,this recipe allows you the fresh taste of sweet corn-on-the cob all year long. i've been making it for years and will today make it with olathe corn i picked up at the market for 10 ears for $1. it stacks neatly in your freezer and is ready in a jiffy.,4.9,120,4,15,4.741784593
one bowl  perfect pound cake,"all-purpose flour, sugar, salt, baking soda, lemon, rind of, vanilla, butter, yogurt, eggs",preheat oven to 325 degrees and grease and flour a tube or bundt pan. combine all ingredients in a large bowl and blend at low speed. beat 3 minutes at medium speed. pour into prepared pan. bake for 1 hour or until top springs back when touched lightly in center. cool in pan for about 15 minutes then remove and cool completely on rack. serve plain or glaze if you like,Non-Veg dessert,"this is the perfect pound cake recipe...plus so easy to prepare and only one bowl to wash! this is a firm cake, so if you are into cutting and shaping cakes, this works well. i have used it for christening and communion cakes, creating crosses, etc and used buttercream frosting. i have also made it in a 9 x 13 cake pan...just adjust time accordingly. the addition of the yogurt really makes a difference in the taste.",3.416666667,70,9,7,3.649061518
one pot  brownies,"unsweetened chocolate squares, butter, sugar, eggs, flour, vanilla, nuts","melt chocolate and butter in heavy pot. let cool slightly , then add sugar and mix well. add eggs , mix well , then beat in flour. add vanilla. add nuts or raisins , if desired. stir well. bake in 9 1 / 2 x 13 inch greased pan for 20-25 minutes at 375 degrees. do not overbake",Non-Veg dessert,"this recipe was submitted by mrs. stuart padnos for a cookbook fund raiser put out by members of the junior welfare league, holland, michigan about 30 or so years ago. my mom brought the cookbook back to me as a souvenir of their trip. i've made these brownies all these years and have great luck with them every time. i like to top them with an easy cooked chocolate fudge icing that i got from a bowling partner several years ago. these brownies are like a chocolate cake-not gooey like some recipes and i do personally like them plain without nuts or raisins.",3.666666667,40,7,8,3.93849843
put down your fork   tuna and bean salad,"light olive oil, red wine vinegar, garlic, salt, fresh basil, black pepper, white kidney beans, albacore tuna in water, scallions, red sweet bell peppers, bibb lettuce","in salad bowl , combine oil , vinegar , garlic , salt , basil and black pepper. add beans , tuna , scallions and sweet pepper and toss. chill several hours for flavors to blend. to make a beautiful presentation , serve on a leaf of bibb lettuce",Healthy,"the story behind this comes from a simple recipe i had found, then made changes to make our own. my husband loved it so much the first time i made it i literally had to say to him ",4.571428571,120,11,4,4.535399372
real  italian bolognese sauce,"bacon, onion, celery, carrot, garlic, butter, olive oil, lean ground beef, ground pork, beef consomme, dry white wine, crushed tomatoes, salt, black pepper, rubbed sage, oregano, red pepper flakes, nutmeg, milk, penne pasta","in a dutch oven or medium size pot , heat butter and olive oil over medium heat until butter begins to froth. add onion , celery , carrot , garlic , and bacon. cook until onions are translucent. remove bacon and remove fat. chop lean portions of bacon in small pieces and return to pot. add ground beef and ground pork , and cook until meat loses red , raw color. raise heat and add wine and consomme. cook sauce until wine and consomme are mostly evaporated. turn heat down to simmer and add oregano , salt , pepper , sage , red pepper flakes , and nutmeg. let cook for approximately 20 minutes. add crushed tomatoes and bring heat to a boil. once the mixture comes to a boil , return to simmer. let sauce simmer partially covered for about 2 to 4 hours , stirring occasionally to prevent sticking. about 5 to 10 minutes before serving , add milk. sauce can now be added to cooked penne pasta , spaghetti or many other pastas to your liking. remaining sauce may be frozen for up to two months for future use",Non-veg,"after traveling throughout italy, savoring the fine tastes of bolognese from the many different regions, i decided to formulate my own. try it, you'll love it.",3.962264151,160,20,16,3.989210251
red  macaroni salad,"elbow macaroni, green pepper, onion, celery, fresh tomato, cucumber, oil, brown sugar, lemon juice, ketchup","in large mixing bowl , combine your macaroni& diced veggies. in another bowl , combine sauce ingredients , blending well. pour sauce over the macaroni& vegetables. mix well& chill. this can be made up to a day before for fullest flavour. great for a bbq !. may be kept 3-4 days in refrigerator",Veg dessert,"this is not your usual macaroni salad....there is no miracle whip in this. when i first saw it i was a little put off because of the looks of it, but was sooo surprised when i tasted it!!glad i did! tasty & a nice change.(i put 1 day for cook time as this is best made ahead of time,i am guessing on servings also as it depends on the appetites and the venue!)",3.5,1470,10,7,3.923123037
rich  hot fudge cake,"flour, sugar, cocoa, baking powder, salt, milk, vegetable oil, vanilla, brown sugar, hot water","combine flour , sugar , 2 t cocoa , baking powder , and salt. stir in milk , oil , and vanilla until smooth. spread in an ungreased 9"" square pan. combine brown sugar and remaining 4 t cocoa. sprinkle over batter. pour hot water over all. do not stir. bake@ 350 for 35-40 min. serve warm or cold with vanilla ice cream. enjoy !",Veg dessert,"this is a very rich hot fudge cake that i got hooked on when i was expecting our daughter - just couldn't get enough of it and now she loves chocolate....hum... anyway, this is a easy recipe that i love warm with ice cream and my husband loves cold and plain. happy gobbling!:o)",4.2,45,10,10,4.264998255
say what   banana sandwich,"white bread, mayonnaise, bananas",spread a tablespoon on one side of each slice on bread. peel and cut the bananas into 1 / 4-inch round slices. lay the slices on two of the slices of bread and then top with the other half. enjoy !,Healthy,you just have to try it to believe it.,4.139534884,5,3,4,4.157127325
smoked  salmon  cracker spread,"cream cheese, salmon, salt, lemon juice, onions, liquid smoke","in small mixer bowl beat cream cheese at med. speed , scraping bowl often , until light and fluffy add salt , lemon juice , onion , and liquid smoke. continue beating until well mixed. by hand , stir in salmon. spoon into serving bowl and serve with crackers. store refrigerated. garnish with chives , green onions , olives , pimiento , etc. to taste",Healthy,"from the land of lakes cookbook via a friend who knows how i like to play. great as an appetizer spread, rolled in a tortilla, or in sandwiches. lots of possibilities for innovation here! cook time is chilling time.",4.875,65,6,8,4.698748691
